subject_id,subject_slug,subject_type,subject_characters,deprecated_meaning_hint,deprecated_meaning_mnemonic,deprecated_meanings,deprecated_reading_hint,deprecated_reading_mnemonic
204,asia,Radical,亜,,This radical looks just like a [radical]tie fighter[/radical] as seen from above / below / the front. Vrroozooomm!,Tie Fighter,,
206,yoga,Radical,廴,,This looks like something that's really big taking huge steps. It also looks like it has a beak. What's big and has a beak? The famous character [radical]Big Bird[/radical].,Big Bird,,
338,library,Radical,扁,,"There's a door on the books. The door is part of a [radical]bookshelf[/radical], which holds the books together.",Bookshelf,,
226,bookshelf,Radical,冊,,"If you put a bunch of [radical]books[/radical] into a shelf, they'd kind of look like this, no?",Books,,
231,center,Radical,央,,"This radical looks just like the kanji [kanji]central[/kanji]. So, we're going to name this radical [radical]central[/radical] as well.",Central,,
232,soul,Radical,忄,,This [radical]stick[/radical] has fins on it. Why? Because it's a [radical]fish stick[/radical].,Fish Stick,,
234,body,Radical,身,,This is the same as the kanji [kanji]somebody[/kanji]. That's why we're calling this radical [radical]somebody[/radical] as well.,Somebody,,
230,original,Radical,原,,"Something small and white is inside a cliff. Technically they're clear, but when I think of small white things in cliffs or mountains I think of diamonds. That's why this radical is [radical]diamond[/radical].",Diamond,,
244,past,Radical,去,,Here is a grave pile. Where do grave piles (usually) exist? In a [radical]cemetery[/radical].,Cemetery,,
250,face,Radical,面,,"This radical looks like a [radical]robot[/radical] head. It has an antenna on top, plus a strange face which is made up of several sensors all in a row. That's why we're calling this one ""robot.""",Robot,,
248,attach,Radical,付,,"This radical is the same as the kanji [kanji]attach[/kanji]. Because the word ""attach"" is so terrible when it comes to creating mnemonics, let's change it to mean [radical]glue[/radical]. After all, glue attaches one thing to another thing, so I think it's pretty appropriate.",Glue,,
209,criminal,Radical,非,,"No matter which way you look, there's spikes everywhere. You're being punished for something you didn't do, and that punishment is to be put in a room covered in spikes. You have suffered quite the [radical]injustice[/radical].",Injustice,,
253,good-luck,Radical,吉,,"Something comes from a samurai's mouth. Totally random, but that thing is a [radical]longcat[/radical] which is basically a really, really long cat. Imagine it coming out of the samurai's mouth forever and ever. It never stops! So, when you think of a samurai's mouth, be sure to think of longcat, because it's coming out.",Longcat,,
274,mole,Radical,至,,"You have a boob and a grave. So, naturally this is a [radical]boob grave[/radical]. Just imagine a single boob being buried, getting a service, and having people crying all around.",Boob Grave,,
273,flood,Radical,巛,,"There are three arrows pointing to the left. Instead of one arrow (like with the radical and kanji [ja]矢[/ja]), these are three arrows... aka plural, more than one! [reading]Arrows[/reading]!",Arrows,,
277,simultaneous,Radical,斉,,See the guy on top walking on those two long sticks? Those sticks are [radical]stilts[/radical].,Stilts,,
285,allocate,Radical,充,,"This is an [radical]outhouse[/radical]. There's a lid over the poop to keep the stink out, but for some reason you're dangling your legs into the outhouse hole. You'll have to come up with a reason why, but just try to imagine this and gross yourself out - it will help you to remember.",Outhouse,,
284,dollar,Radical,弗,,"Not only is it one spring, it is twenty springs. Combine these springs together to form a mega spring, an amazing [radical]slinky[/radical].",Slinky,,
289,vines,Radical,丩,,This radical looks just like a number [radical]four[/radical]. It's just the version of [radical]four[/radical] that isn't connected at the top.,Four,,
290,restaurant,Radical,亭,,"You have a lid covering your face, from your forehead to your mouth. There's a nail sticking in it. The reason you have this lid up protecting you like this is because someone's trying to use a [radical]nailgun[/radical] to shoot you in the face.",Nailgun,,
293,dawn,Radical,旦,,"The sun is coming up out of the ground, making this radical [radical]sunrise[/radical]. Of course, don't confuse this with sunset! You can do that by thinking that the sun is an optimistic and bright thing, so it tends to come up, not go down (at least whenever possible).",Sunrise,,
294,korea,Radical,韋,,"The five is a bit altered, but you can see it. So, you have five mouths. And you have a cow. In this case, you have a five mouthed cow. This is the [radical]cow god[/radical].",Cow God,,
303,lifeguard,Radical,冓,,"You put your life (twice, one for each show) into an elephant's hands (or trunk). Where do you work? At the [radical]circus[/radical]. Don't get this confused with the similar [ja]黄[/ja], though. That one is different, and doesn't involve life or elephants.",Circus,,
331,call,Radical,召,,"Taking a sword to a mouth... sounds like something the [radical]Joker[/radical] from Batman would do. He likes to carve smiles into people's faces, which is why this radical means ""Joker.""",Joker,,
315,barracks,Radical,屯,,This radical looks like a (crazy) hand with something sticking right through it. What do you usually get stuck in your finger? That little thing is a [radical]thorn[/radical].,Thorn,,
319,charcoal,Radical,尞,,"What has big horns but a small sun? Let's say it's an [reading]ox[/reading], because there's Babe the giant blue ox, and oxes are pretty big anyways. And, if an ox is big enough, it makes the sun look small in comparison, especially if you're Babe the giant blue ox (though you only have to remember ""ox"").",Ox,,
162,one-sided,Radical,片,,"The [radical]waiter[/radical] is walking towards you with a dish in his hand (you see it in his outstretched arm?). That's how you know he's a waiter, he's bringing you your food.",Waiter,,
336,bully,Radical,鬲,,"He's a creeper and he's ""Four-t"" (forty). He's known as [radical]Chester[/radical] the molester. Don't cross paths with this sicko.",Chester,,
8794,coral,Radical,,,"This looks like it is water, but it's barbed and sharp. It also has a fish tail. What is in the water, has ""barbs"" and has a fish tail? Something that will bite you, that's for sure. Let's call this radical [radical]shark[/radical].",Shark,,
428,boot,Radical,堇,,"This radical is a jar on top of some kind of contraption. Well that contraption is actually a big furnace and the jar is a clay pot, making this whole thing a kiln. A kiln is like a big oven you use to harden pottery. So this radical is a [radical]kiln[/radical].",Kiln,,
429,dance,Radical,舛,,"This radical is made up of evening and cow. In the evening cows are let free by protesters who don't think it's right to keep them caged! They only do it at night, because they'd get arrested if they tried during the day. That's why this radical is [radical]protester[/radical].",Protester,,
367,hot-pepper,Radical,辟,,A national flag in your mouth was promised to taste sweet but it is actually spicy. You've been lied to. These lies are [radical]propaganda[/radical].,Propaganda,,
388,plow,Radical,耒,,"This is a tree with two extra branches on top. It's the tallest of the tree-like radicals, which is why we're making this one the [radical]redwood[/radical], because redwoods are super tall and big and live a long time.",Redwood,,
431,penguin,Radical,敝,,"This radical is made up of two face, explosion, and winter. Two-face likes to work a job where he gets to cause lots of explosions in winter, when the criming gets hard. So in winter he becomes a demolition man. That's why this radical is a [radical]demolition man[/radical], just like him.",Demolition Man,,
2255,阿,Kanji,阿,"Flattering people is a really nice thing to do, as long as they're okay with it. Imagine how happy the butcher is when you tell him you like his lip ring.",You see a [radical]butcher[/radical] with a [radical]lip ring[/radical] and it's just so cute that you have to compliment him on it. You compliment him and he's so [kanji]flatter[/kanji]ed he turns as red as the blood on his apron.,"","Hear the flattered butcher ""Ahhh""ing at you. You should probably leave now. I don't think he's going to stop.","The butcher is so [kanji]flatter[/kanji]ed he can't even come up with anything to say in response. ""[reading]Ahhhh[/reading] ([ja]あ[/ja]),"" is all he can manage. ""Ah ahha ahhh."" Well, at least it seems like he appreciated your compliment."
2431,亜,Kanji,亜,Imagine a bunch of tie fighters flying in and out of Asia. ,"When you see a [radical]tie fighter[/radical] you should always remember that they were made in [kanji]Asia[/kanji]. All the tie fighter mechanics, factories, and designers live in Asia, so if you want to buy or fix one you better be ready to fly all the way back!","",A is for Asia!,What's the first sound in [kanji]Asia[/kanji]? [reading]AHHHHH[/reading]. I mean. It's [reading]A[/reading] ([ja]あ[/ja]). Nice and easy!
934,秋,Kanji,秋,"The summer makes things dry for autumn, when things really burn. So, don't get it confused with summer - this is autumn because all the non-pine trees have dead leaves, giving the fire plenty of fuel to burn the pines as well.",The [radical]pine[/radical]s are all catching on [radical]fire[/radical]! It must be a pretty dry season - it must be [kanji]autumn[/kanji].,"",See the actual letters あき coming out of their mouths as they yelp. That'll help you to remember the reading.,"The pines are burning. Imagine them yelping out in pain: ""[reading]ACK[/reading]!"" (あき)"
829,悪,Kanji,悪,Imagine yourself with a tie fighter where you heart should be. You’d be in a lot of pain and you’d slowly die. Imagine this happening to you. What a bad way to go.,"Having a [radical]tie fighter[/radical] where your [radical]heart[/radical] should be is a [kanji]bad[/kanji] thing. A tie fighter can’t perform the same functions as a heart! Tie fighters are meant for battle, not pumping blood through bodies. Tie fighters are good for fighting, bad for sustaining blood flow.","",The acupuncture doesn’t help at all. It’s bad news. The needles just hurt. Imagine not having a heart and then someone stabs you with a bunch of little needles. You’re in a world of pain and your whole body is on fire.,"To try and get your blood moving properly again, you decide to try [reading]acu[/reading]puncture ([ja]あく[/ja]). You’ve heard things about acupuncture being good for the blood flow and the heart and such, so you decide to give it a go. [kanji]Bad[/kanji] choice."
1816,握,Kanji,握,Grab the nailbat and feel it in your grip. It's like it was made for your hand.,There's a [radical]nailbat[/radical] at the [radical]shop[/radical] that you want to buy. This nailbat is perfect. It fits your [kanji]grip[/kanji] so nicely.,"","Imagine yourself using the nailbat in your acupuncture firm. Sure, it's out of the ordinary, but it is very effective somehow.","You get a [kanji]grip[/kanji] on the nailbat. You don't use this to hurt people, you use it for [reading]acu[/reading]puncture ([ja]あく[/ja]). How does that feel?"
2216,曙,Kanji,曙,Imagine what it's like to have Sauron show you the sun at dawn for the first time. It's beautiful!,"[radical]Sauron[/radical] shows [radical]someone[/radical] the [radical]sun[/radical] as it rises to teach them what [kanji]dawn[/kanji] looks like. Everyone is so used to seeing his giant, glowing eye, that they never learned about the other bright glowing thing in the sky, and that it comes up and looks really pretty sometimes. That someone will tell the rest of the orcs all about this new ""dawn"" thing.","",Look at Akebono looking at you as you look at dawn breaking. ,"The someone who saw [kanji]dawn[/kanji] for the first time goes on to become sumo wrestling champ <a href=""http://en.wikipedia.org/wiki/Akebono_Tar%C5%8D"">[reading]Akebono[/reading] Taro</a> ([ja]あけぼの[/ja]). He always gazes at the sunrise at dawn before he wrestles. Now when you see dawn break, you'll see him gazing back at you. All thanks to Sauron."
2429,憧,Kanji,憧,Imagine seeing a fish stick and a sunflower standing together and feel how much you yearn for summer to come back. Then you can eat all the fish sticks and smell all the sunflowers you want!,"If you see a [radical]fish stick[/radical] on a [radical]stand[/radical] with a [radical]sunflower[/radical] it will make you [kanji]long for[/kanji] summer. Fish sticks and sunflowers are the tastes and sights of summer, and you can't help but yearn for it when you see them.","","If you long for something too strongly a cougar will come eat it. So don't long for people... really, don't.","As you think about how much your [kanji]long for[/kanji] summer [reading]a cougar[/reading] ([ja]あこが[/ja]) comes up and eats the fish stick, the sunflower and even the plate! Then it runs away. Now you long for a cougar to come back and give you your taste of summer back."
1308,汗,Kanji,汗,Imagine being so nervous that you’re sweating profusely. Now imagine what it would be like to have antenna. Those are sweating too.,"During a [radical]tsunami[/radical], your [radical]antenna[/radical] start to [kanji]sweat[/kanji] you’re so nervous. You’re just a little tiny bug with antenna, how are you supposed to escape with your life when a tsunami is headed right for you. You’re sweating all over, even your antenna.","",But imagine it again! Embrace the sweaty ass. Press your mind firmly into it so you remember how to read this kanji!," [kanji]Sweat[/kanji]. Sweat everywhere. From your antenna to the crack of your [reading]ass[/reading] ([ja]あせ[/ja]), there is sweat. Eww, ass sweat. Sorry you had to imagine that."
1106,圧,Kanji,圧,Imagine how this cliff must feel. What if you had a whole bunch of grave stones piled up on top of you? Feel the pressure on top of you with all these grave stones pressing down.,Atop a [radical]cliff[/radical] lie many [radical]grave[/radical] stones which exert a lot of downward [kanji]pressure[/kanji] on the cliff itself. There are tons and tons of grave stones on the cliff and the pressure is getting to be too much for the cliff to bear.,"",Picture R2-D2 getting blasted with rocks from the blast. Hear him beeping and booping in pain as he’s pelted with stones.,"Near this cliff you see the lovable Star Wars character, [reading]R2[/reading]-D2 ([ja]あつ[/ja]). He’s just beep booping along when suddenly the cliff can’t take the [kanji]pressure[/kanji] any longer and just blows up from the pressure. R2-D2 is caught in the cliff explosion and is smashed to pieces."
1693,扱,Kanji,扱,"Imagine yourself riding up the escalator with a nailbat in your hand. Imagine smacking every obstacle out of the way as you ride, hearing the screams from those around you as you handle them.","You use a [radical]nailbat[/radical] on the [radical]escalator[/radical] to [kanji]handle[/kanji] any obstacles. People, pets, luggage, all of that is easy to handle when you’ve a nailbat.","",This really freaks the guy out. Looks like you handled that situation well. Just imagine yourself shouting “[ja]暑か[/ja]!?” like a maniac as the guy runs away from you.,"All this nailbat swinging is hard to [kanji]handle[/kanji] and you start to work up a real sweat. Someone comes up to you and asks “[reading][ja]暑か[/ja][/reading]?” ([ja]あつか[/ja]). He wants to know if you’re hot. You don’t like being asked questions so you get all up in his face and start shouting, “[ja]暑か[/ja]?!? [ja]暑か[/ja]?!?! [ja]暑か[/ja]?!?!?!?!?!?”"
612,安,Kanji,安,"You can imagine her super relaxed right now. But, if you take off the helmet she flips out and starts attacking you, screaming. Put the helmet back on, and she falls over limp, super-duper relaxed.","You walk up to a [radical]woman[/radical] with a [radical]helmet[/radical] on her head. ""Why are you wearing a helmet on your head?"" you ask. ""Because it helps me to stay [kanji]relax[/kanji]ed,"" she replies. ""Oh, and it was super [kanji]cheap[/kanji], too."" You can see the price tag. It was only $1. That is cheap.","","Say her name over and over as you're trying to revive her (without pulling the helmet off, of course!). ""Anne! Hey, you okay. Anne!?""","When she falls over again, super [kanji]relax[/kanji]ed, you pull out her wallet and open it up (because obviously, this lady needs help). You find her name, it's [reading]Anne[/reading] (あん)."
1125,委,Kanji,委,Imagine this woman sitting at a desk in the middle of a pine forest. She’s on the committee for saving them so she works right in the middle of them. Hear her typing on her keyboard and answering phone calls as birds chirp all around her.,"In a forest of [radical]pine[/radical] trees, a [radical]woman[/radical] starts a [kanji]committee[/kanji] to preserve them. The pine trees in this particular forest are in danger of being cut down, so this woman must start a committee to save them.","","Hear the sound of eagles screeching overhead as they fly about the pine forest. They have no idea that a committee is being formed for them. Look up at them as they fly. Oops, one just pooped in your eye.","Speaking of birds, part of the reason she started this [kanji]committee[/kanji] was to save the pines, but another was to save the [reading]ea[/reading]gles ([ja]い[/ja]) that live in the pines. Eagles call this forest their home so it is important that the trees don’t get cut down."
1368,移,Kanji,移,"Picture this phenomenon in your head. Imagine it all dramatic in like a time-lapse video sort of thing with dramatic music too. See the pine tree one evening, and then the next evening – it shifts!","A [radical]pine[/radical] is there one [radical]evening[/radical], and then the next [radical]evening[/radical], it experiences a [kanji]shift[/kanji]. After two evenings, the pine tree is shifted from one location to another. This phenomenon is known as a Double Evening Pine Shift.","",See the eagle picking up and shifting the pine tree in the evening. Hear the eagle screech as it shifts the tree in the evening.,"So what causes this fine tree to [kanji]shift[/kanji], anyway? Well if you look closely, you’ll be able to see that an [reading]ea[/reading]gle ([ja]い[/ja]) actually picks up the pine to shift it to its new location. That’s one strong eagle."
1616,遺,Kanji,遺,"Imagine going down the water slide one last time as you think of how much it sucks that you gotta leave it behind. Man, you’re gonna miss this waterslide. Feel the water under you as you feel the sorrow in your heart.","A [radical]water slide[/radical] is a [radical]valuable[/radical] thing that you cannot [kanji]leave behind[/kanji]. Well, normally. However you have been forced to leave behind your water slide. You’re moving, and the water slide is just too big to take with you. You gotta leave behind that water slide, regardless of how valuable it is.","",See the eagles as they circle over the water slide. Hear the flap of their wings as they screech their eagle screeches.,"You [kanji]leave behind[/kanji] the water slide and return to it many years later. You’re surprised to find that [reading]ea[/reading]gles ([ja]い[/ja]) have made a nest at the top of the slide. Yes, eagles. Now you feel good about your decision to leave behind the slide. A family of eagles now has a home thanks to you."
1733,斐,Kanji,斐,Look at this ill patterned doll. Feel it in your hands as your stomach turns in absolute disgust.,It’s an [radical]injustice[/radical] the way this [radical]doll[/radical] is [kanji]patterned[/kanji]. It’s patterned in such a way that it is extremely displeasing to the eye. What a hideous doll this is.,"",Listen to your eagle screech loudly as it tears apart the patterned doll with its beak and claws. It’s incredibly violent.,"You can’t stand the injustice that this [kanji]patterned[/kanji] doll is bringing you so you give it to your pet [reading]ea[/reading]gle ([ja]い[/ja]) to tear apart. Your eagle loves to destroy things, especially when they are ill patterned."
2120,偉,Kanji,偉,"Imagine the leader cow god, standing in front of all the other cow gods. Its greatness radiating from its cow god body.",The [radical]leader[/radical] of the [radical]cow god[/radical]s is destined for [kanji]greatness[/kanji]. All the other cow gods could sense this and that's why they made it their leader in the first place.,"",Picture the greatness of the scene before you and see the eagle flying overhead.,"You almost can't handle the awesome [kanji]greatness[/kanji] of this cow god. Just when you think you have to look away, a great [reading]eagle[/reading] ([ja]い[/ja]) soars overhead, letting out a cry. What a scene."
2199,緯,Kanji,緯,"Picture the cow god flying around the earth with the thread, marking the latitude lines. Quickly draw them on your map of the earth so you won't have to ask the god again!","Give a [radical]thread[/radical] to the [radical]cow god[/radical] and it will fly that thread around the earth, parallel to the equator, until it's marked all the [kanji]latitude[/kanji] lines with it. That's the only way to really know where they are. If the cow god weren't here, we wouldn't even know what latitude was.","","Picture the cow god transforming into an eagle so it can see the latitude lines running parallel to the equator. Then flying around the earth, laying the thread you gave it down so you can see them too.","The cow god is marking [kanji]latitude[/kanji] lines so fast that it almost looks like an [reading]ea[/reading]gle ([ja]い[/ja]), not a cow. But... but it's the cow god, right? So maybe it transforms into an eagle to fly. Or maybe only eagles can see the latitude lines!"
1063,易,Kanji,易,"Feel gravity pulling on you now. It’s easy to jump in the air, but gravity pulls you right back down. Feel this powerful pull of gravity.","Understanding [radical]gravity[/radical] is [kanji]easy[/kanji]. Things go up, then they come down. It doesn’t get much easier than that.","",Picture this eagle flying in the sky above you. Hear its piercing screech reverberate across the land as you marvel at its amazing ability to defy gravity.,"Some things can seem to defy gravity, such as an [reading]ea[/reading]gle ([ja]い[/ja]). An eagle goes up, stays up, and then comes down when it wants to. Eagles are dirty cheats who use things like wings and feathers to circumvent the influence of gravity. Crafty eagles, making flight look so [kanji]easy[/kanji] and junk."
1178,域,Kanji,域,"Try and imagine yourself unearthing this dead drunkard and trying to figure out what’s in his mouth. Smell the decay of flesh as you poke around in his mouth, trying to figure out what this thing is in his drunkard mouth. Think of an object and what region of North America it comes from.",Under a [radical]grave[/radical] in the [radical]ground[/radical] is a [radical]drunkard[/radical] with something in his [radical]mouth[/radical] from a [kanji]region[/kanji] in North America. He died from whatever it is that’s in his mouth. That’s how this drunkard ended up in this grave in the ground. His whole face region is disfigured from whatever he ate. I wonder what region of North America the strange object came from.,"Region, Regional Boundary, Boundary",Imagine touching this super icky substance from the drunkard’s mouth. It’s really icky. Feel yourself throwing up as you feel the icky goo between your fingers.,"In an attempt to identify what [kanji]region[/kanji] of North America the thing in the drunkard’s mouth came from, you touch it and try to remove it with your bare hands. Upon touching whatever it is, you find it to be all [reading]icky[/reading] ([ja]いき[/ja]) and gooey. Like, super icky. So icky that you barf in the region immediately adjacent to the grave you’re in."
795,育,Kanji,育,"Imagine what the moon would look like if it had boobs. It’d be a pretty wacky sight, don’t you think? Next time you see the moon in the night sky, imagine it with boobs.","The [radical]boob[/radical] of Mother [radical]Moon[/radical] [kanji]nurture[/kanji]s and nourishes its young. A mother’s boob provides milk for its children, and Mother Moon is no different. Mother Moon nurtures all of her children. 

Alternatively you can remember this kanji to mean [kanji]raise[/kanji] (as in ""to raise"" a child). This is similar to nurture, of course, too, so remembering this shouldn't be too bad.","","Use this awesome haiku I wrote to help you remember this kanji. It’s so artistically moving, I don’t know how anyone could forget this haiku.",People would be so amazed at this moon’s boobs and its ability to nurture that they’d write many a ha[reading]iku[/reading] ([ja]いく[/ja]) about it. These haikus would be great. Mother moon has boobs / They nurture all of mankind / This is a haiku.
2235,逸,Kanji,逸,"Imagine excusing yourself to jump down a water slide, deviating from the plan. It feels too exhilarating!",Jump on a [radical]water slide[/radical] to [radical]excuse[/radical] yourself from answering a question and you've successfully [kanji]deviate[/kanji]d from that nosey person's plan! You've also been able to [kanji]elude[/kanji] them pretty well. They'll have to go down the water slide to catch up and you're already at the bottom running.,"",Feel the guilt as it eats away at you because you decided to elude someone who seemed to need something from you. ,"You [kanji]deviate[/kanji] from the plan a little too well, and as you're running what you've done [reading]eats[/reading] ([ja]いつ[/ja]) away at you. You feel guilty for eluding them? What the hell... that's not fair. You're supposed to get away with it!"
